SampleID,Type,Location ,Treatment ,Location_Treatment,Soil_Horizon,Treatment_Location_Horizon,Treatment_Horizon,Sample_within_site,Season
DNA38,Soil,Site1,Treatment ,Treatment_Site1,Lower Forest Floor ,Treatment_Site1_Lower Forest Floor,Treatment  Lower Forest Floor ,Sample2,Fall
DNA39,Soil,Site1,Treatment ,Treatment_Site1,Upper B Horizon,Treatment_Site1_Upper B Horizon,Treatment  Upper B Horizon,Sample2,Fall
DNA40,Soil,Site3,Treatment ,Treatment_Site3,Upper Forest Floor,Treatment_Site3_Upper Forest Floor,Treatment  Upper Forest Floor,Sample1,Fall
DNA41,Soil,Site3,Treatment ,Treatment_Site3,Lower Forest Floor ,Treatment_Site3_Lower Forest Floor,Treatment  Lower Forest Floor ,Sample1,Fall
DNA42,Soil,Site3,Treatment ,Treatment_Site3,Upper B Horizon,Treatment_Site3_Upper B Horizon,Treatment  Upper B Horizon,Sample1,Fall
DNA43,Soil,Site1,Control,Control_Site1,Upper Forest Floor,Control_Site1_Upper Forest Floor,Control Upper Forest Floor,Sample2,Fall
DNA44,Soil,Site1,Control,Control_Site1,Lower Forest Floor ,Control_Site1_Lower Forest Floor,Control Lower Forest Floor ,Sample2,Fall
DNA45,Soil,Site1,Control,Control_Site1,Upper B Horizon,Control_Site1_Upper B Horizon,Control Upper B Horizon,Sample2,Fall
DNA46,Soil,Site5,Control,Control_Site5,Upper Forest Floor,Control_Site5_Upper Forest Floor,Control Upper Forest Floor,Sample1,Fall
DNA47,Soil,Site5,Control,Control_Site5,Lower Forest Floor ,Control_Site5_Lower Forest Floor,Control Lower Forest Floor ,Sample1,Fall
DNA48,Soil,Site5,Control,Control_Site5,Upper B Horizon,Control_Site5_Upper B Horizon,Control Upper B Horizon,Sample1,Fall
DNA49,Soil,Site5,Control,Control_Site5,Upper Forest Floor,Control_Site5_Upper Forest Floor,Control Upper Forest Floor,Sample2,Fall
DNA50,Soil,Site5,Control,Control_Site5,Lower Forest Floor ,Control_Site5_Lower Forest Floor,Control Lower Forest Floor ,Sample2,Fall
