"","taxa_id","W","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"307"," g__Dyadobacter",Inf,TRUE,TRUE,TRUE,TRUE
"308"," c__Bacteroidia",136,FALSE,TRUE,TRUE,TRUE
"309"," g__Emticicia",Inf,TRUE,TRUE,TRUE,TRUE
"310"," f__Spirosomaceae",126,FALSE,FALSE,TRUE,TRUE
"311"," g__CCD24",Inf,TRUE,TRUE,TRUE,TRUE
"312"," g__Ga0077536",Inf,TRUE,TRUE,TRUE,TRUE
"313"," g__WD260",63,FALSE,FALSE,FALSE,FALSE
"314"," f__Steroidobacteraceae",Inf,TRUE,TRUE,TRUE,TRUE
"315"," g__Steroidobacter",130,FALSE,FALSE,TRUE,TRUE
"316"," c__Gammaproteobacteria",52,FALSE,FALSE,FALSE,FALSE
"317"," g__Acidibacter",65,FALSE,FALSE,FALSE,FALSE
"318"," g__JG36-TzT-191",75,FALSE,FALSE,FALSE,FALSE
"319"," g__R7C24",Inf,TRUE,TRUE,TRUE,TRUE
"320"," g__SC-I-84",Inf,TRUE,TRUE,TRUE,TRUE
"321"," g__Rhodanobacter",39,FALSE,FALSE,FALSE,FALSE
"322"," g__Rudaea",Inf,TRUE,TRUE,TRUE,TRUE
"323"," g__Dyella",47,FALSE,FALSE,FALSE,FALSE
"324"," f__Xanthomonadaceae",110,FALSE,FALSE,FALSE,TRUE
"325"," g__Pseudoxanthomonas",Inf,TRUE,TRUE,TRUE,TRUE
"326"," g__Lysobacter",Inf,TRUE,TRUE,TRUE,TRUE
"327"," f__Rhodanobacteraceae",126,FALSE,FALSE,TRUE,TRUE
"328"," g__Dokdonella",Inf,TRUE,TRUE,TRUE,TRUE
"329"," g__Tahibacter",Inf,TRUE,TRUE,TRUE,TRUE
"330"," g__Arenimonas",Inf,TRUE,TRUE,TRUE,TRUE
"331"," f__Solimonadaceae",115,FALSE,FALSE,TRUE,TRUE
"332"," g__Alkanibacter",Inf,TRUE,TRUE,TRUE,TRUE
"333"," g__Nevskia",45,FALSE,FALSE,FALSE,FALSE
"334"," g__Candidatus_Endonucleariobacter",Inf,TRUE,TRUE,TRUE,TRUE
"335"," g__Coxiella",97,FALSE,FALSE,FALSE,FALSE
"336"," g__Candidatus_Berkiella",32,FALSE,FALSE,FALSE,FALSE
"337"," g__Rickettsiella",37,FALSE,FALSE,FALSE,FALSE
"338"," g__Legionella",39,FALSE,FALSE,FALSE,FALSE
"339"," g__Candidatus_Ovatusbacter",48,FALSE,FALSE,FALSE,FALSE
"340"," g__Unknown_Family",Inf,TRUE,TRUE,TRUE,TRUE
"341"," g__Pseudomonas",103,FALSE,FALSE,FALSE,TRUE
"342"," g__BIyi10",Inf,TRUE,TRUE,TRUE,TRUE
"343"," g__Escherichia-Shigella",41,FALSE,FALSE,FALSE,FALSE
