,Upper Forest Floor,Lower Forest Floor,Upper B Horizon
 o__Babeliales,FALSE,FALSE,FALSE
 o__Burkholderiales,FALSE,FALSE,FALSE
 o__Chitinophagales,FALSE,FALSE,TRUE
 o__Chthoniobacterales,FALSE,FALSE,TRUE
 o__Cytophagales,FALSE,TRUE,FALSE
 o__Defluviicoccales,FALSE,FALSE,FALSE
 o__Elsterales,FALSE,FALSE,FALSE
 o__Gaiellales,FALSE,FALSE,FALSE
 o__Micavibrionales,TRUE,FALSE,FALSE
 o__Oligoflexales,FALSE,FALSE,TRUE
 o__Omnitrophales,FALSE,FALSE,FALSE
 o__Planctomycetales,FALSE,FALSE,FALSE
 o__Polyangiales,TRUE,FALSE,TRUE
 o__Rhizobiales,TRUE,FALSE,FALSE
 o__Rhodospirillales,FALSE,FALSE,FALSE
 o__Rickettsiales,TRUE,FALSE,FALSE
 o__SBR1031,FALSE,FALSE,FALSE
 o__Solirubrobacterales,TRUE,FALSE,FALSE
 o__Sphingobacteriales,TRUE,TRUE,FALSE
 o__Vicinamibacterales,FALSE,FALSE,FALSE
 o__Zavarziniales,TRUE,FALSE,FALSE
 p__Acidobacteriota,FALSE,FALSE,FALSE
 p__Armatimonadota,TRUE,FALSE,FALSE
 p__Chloroflexi,TRUE,FALSE,FALSE
 p__Desulfobacterota,TRUE,FALSE,FALSE
 p__Myxococcota,FALSE,FALSE,FALSE
 p__Patescibacteria,FALSE,FALSE,FALSE
d__Bacteria,FALSE,FALSE,FALSE
