"","taxa_id","W","detected_0.9","detected_0.8","detected_0.7","detected_0.6"
"100"," g__IMCC26256",0,FALSE,FALSE,FALSE,FALSE
"101"," c__Acidimicrobiia",1,FALSE,FALSE,FALSE,FALSE
"102"," g__Acidothermus",2,FALSE,FALSE,FALSE,FALSE
"103"," g__Mycobacterium",15,FALSE,FALSE,FALSE,FALSE
"104"," g__Catenulispora",2,FALSE,FALSE,FALSE,FALSE
"105"," g__Actinospica",Inf,TRUE,TRUE,TRUE,TRUE
"106"," g__Jatrophihabitans",Inf,TRUE,TRUE,TRUE,TRUE
"107"," f__Thermomonosporaceae",Inf,TRUE,TRUE,TRUE,TRUE
"108"," g__Mucilaginibacter",3,FALSE,FALSE,FALSE,FALSE
"109"," g__AKYH767",0,FALSE,FALSE,FALSE,FALSE
"110"," g__Cohnella",Inf,TRUE,TRUE,TRUE,TRUE
"111"," g__Paenibacillus",27,FALSE,FALSE,FALSE,FALSE
"112"," g__Desulfosporosinus",26,FALSE,FALSE,FALSE,FALSE
"113"," g__C0119",Inf,TRUE,TRUE,TRUE,TRUE
"114"," g__Spirochaeta",Inf,TRUE,TRUE,TRUE,TRUE
"115"," g__Saccharimonadales",3,FALSE,FALSE,FALSE,FALSE
"116"," g__Lineage_IIb",5,FALSE,FALSE,FALSE,FALSE
"117"," g__Elusimicrobiota",0,FALSE,FALSE,FALSE,FALSE
"118"," g__Lineage_IIa",49,FALSE,FALSE,FALSE,FALSE
"119"," g__Lineage_IV",2,FALSE,FALSE,FALSE,FALSE
"120"," f__Fibrobacteraceae",Inf,TRUE,TRUE,TRUE,TRUE
"121"," g__AD3",0,FALSE,FALSE,FALSE,FALSE
"122"," p__Chloroflexi",17,FALSE,FALSE,FALSE,FALSE
"123"," g__Anaerolineae",1,FALSE,FALSE,FALSE,FALSE
"124"," g__SHA-26",1,FALSE,FALSE,FALSE,FALSE
"125"," c__Dehalococcoidia",Inf,TRUE,TRUE,TRUE,TRUE
"126"," g__SAR202_clade",1,FALSE,FALSE,FALSE,FALSE
"127"," f__Anaerolineaceae",0,FALSE,FALSE,FALSE,FALSE
"128"," c__Anaerolineae",Inf,TRUE,TRUE,TRUE,TRUE
"129"," g__P2-11E",3,FALSE,FALSE,FALSE,FALSE
"130"," g__KD4-96",Inf,TRUE,TRUE,TRUE,TRUE
"131"," g__B12-WMSP1",Inf,TRUE,TRUE,TRUE,TRUE
"132"," g__SBR1031",27,FALSE,FALSE,FALSE,FALSE
