"","Intercept::Est","Intercept::SE","Intercept::t.val","Intercept::pval","TreatmentTreatment :Est","TreatmentTreatment :SE","TreatmentTreatment :t.val","TreatmentTreatment :pval","Time_PointSummer:Est","Time_PointSummer:SE","Time_PointSummer:t.val","Time_PointSummer:pval","TreatmentTreatment :Time_PointSummer:Est","TreatmentTreatment :Time_PointSummer:SE","TreatmentTreatment :Time_PointSummer:t.val","TreatmentTreatment :Time_PointSummer:pval","Intercept::pval.holm","TreatmentTreatment :pval.holm","Time_PointSummer:pval.holm","TreatmentTreatment :Time_PointSummer:pval.holm"
" o__Vicinamibacterales",8.34739178889754,0.547024765047643,15.6373896333449,3.48912970287538e-13,-1.4696293430073,0.773609841684333,-1.89472546520348,0.0662614951117422,0.560294937306389,0.706205934997516,0.811773463852231,0.426055459937053,1.12026412882472,1.00583447099448,1.10037588990326,0.281464319398865,1.05031101253618e-10,1,1,1
" g__Subgroup_5",6.6610707844796,0.501649209868292,13.7610360053793,7.65562303954389e-12,-1.5036365617377,0.709439116149485,-2.11192604064217,0.0426228135104276,0.511622461799194,0.647626345152668,0.820771219071036,0.424464011399001,0.760663750655404,0.922400775746824,0.790078268463752,0.445200826878225,2.26384705881881e-09,1,1,1
" g__SJA-28",2.4338603090808,1.08869899391115,2.3038685601339,0.0527145831056015,-1.88893334642511,1.53965288253109,-1.24573595389949,0.270488133801893,-0.144822078566243,1.40550435748355,-0.106589997928182,0.761877691225137,1.81381568551043,2.00183071513676,0.922065784221925,0.402934788922416,0.94746221778695,1,1,1
" g__Kapabacteriales",5.01267275718586,0.44225525118714,11.9434040468897,2.37408810612613e-07,-0.767135635750291,0.625443374259573,-1.18678663715102,0.25969849708029,-0.151425662554911,0.570949074206857,-0.282119563817478,0.766074882151333,0.553160927882048,0.813190928537948,0.642261921112766,0.535052596153791,6.44005703232281e-05,1,1,1
" f__Gemmatimonadaceae",6.92182675062265,0.750611103941205,9.41671286734826,5.94983762542824e-09,-1.5135032442613,1.06152440326149,-1.43014039537124,0.170332411316066,-1.00991186728494,0.969034768347552,-1.04405192509448,0.308899069030247,1.99281222934188,1.38017612893545,1.43838313150215,0.161169244696087,1.70933192509643e-06,1,1,1
" g__Roseisolibacter",2.09319077227645,0.991006855303465,2.17179963356349,0.0575138659052281,-0.267999853538068,1.40149533517487,-0.194838072134034,0.756495565661042,-0.185078708593686,1.2793843488559,-0.135059019136966,0.777180875507527,-0.13283679350913,1.82220060177576,-0.0736435098969166,0.748912152195337,0.979234910130744,1,1,1
" g__Gemmatimonas",1.86087218025884,1.03483926983235,1.87148767134475,0.115513312947668,-3.13875126493705,1.46348373027318,-2.17044913024272,0.0669831680648246,-0.193360771380277,1.33597175268738,-0.137277913397197,0.732506632271107,3.02884931747943,1.90279686778985,1.60345784900438,0.166639708174804,0.983677583914498,0.972619257589156,1,1
" f__Microscillaceae",1.77029336822146,1.10554793363568,1.64266431032898,0.145344085875986,-4.11346750777762,1.56348088160112,-2.67226524267762,0.0296470791021829,-1.54644517695223,1.427256245135,-1.08889073830031,0.319742565318841,4.14191919358262,2.03281147772282,2.07606886053607,0.091060790128743,1,0.842032522206257,1,0.953298703787874
" g__Flavobacterium",-3.60900774702084,1.03281954406283,-3.54616306104899,0.00851665882973535,0.588575360149765,1.46062740669766,0.399574022558291,0.503344819917758,-0.0619752465342846,1.33336429793097,-0.0590076890142243,0.524509764092394,-0.110266655841359,1.89908312404233,-0.044262539424599,0.541915227396255,0.442213529269993,1,1,1
" g__env.OPS_17",-0.0120461453744522,1.1031051195048,0.00603612743984427,0.739910429080732,-0.326824966233559,1.56002622072688,-0.182055179096358,0.646561895081221,-1.98536076608617,1.42410258565274,-1.40592211275301,0.228329480153936,1.89891878919786,2.02831978590909,0.934461203549146,0.398659645202393,1,1,1,1
